judul_ciptaan,jenis_ciptaan,nomor_pencatatan,nama_pencipta,dosen_terkait,file_asli
Copicaniplan,Program Komputer,000611097,Muhammad Fakhri Husaini,Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Copicaniplan,Program Komputer,000611097,Dr. Ir. Ricky Avenzora M.Sc.F.Trop,Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Copicaniplan,Program Komputer,000611097,"Dr. Insan Kurnia, S.Hut., M.Si",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Copicaniplan,Program Komputer,000611097,"Dr. Helianthi Dewi, S.Hut., M.Si",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Copicaniplan,Program Komputer,000611097,"Adam Rachmatullah, S.Par., M.Si",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Copicaniplan,Program Komputer,000611097,"Dr. Reno Catelya Dira Oktavia, S.E., M.H",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Copicaniplan,Program Komputer,000611097,"Dina Sri Suprajanti, S.Hut, M.Si",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Copicaniplan - Program Computer.pdf
Panduan Lapang Kelelawar Hutan Batang Toru Sumatera Utara,Buku,000308202,Abdul Haris Mustari,Prof. Dr. Ir. Burhanuddin Masy'ud M.S.; Dr. Ir. Abdul Haris Mustari M.Sc.,DokumenHakCipta_sertifikat_EC00202167646_8f87f3fe-9a22-4376-9ac8-8f9c5e234aef (1).pdf
Panduan Lapang Kelelawar Hutan Batang Toru Sumatera Utara,Buku,000308202,Ajeng Miranti Putri,Prof. Dr. Ir. Burhanuddin Masy'ud M.S.; Dr. Ir. Abdul Haris Mustari M.Sc.,DokumenHakCipta_sertifikat_EC00202167646_8f87f3fe-9a22-4376-9ac8-8f9c5e234aef (1).pdf
Panduan Lapang Kelelawar Hutan Batang Toru Sumatera Utara,Buku,000308202,Burhanuddin Masyud,Prof. Dr. Ir. Burhanuddin Masy'ud M.S.; Dr. Ir. Abdul Haris Mustari M.Sc.,DokumenHakCipta_sertifikat_EC00202167646_8f87f3fe-9a22-4376-9ac8-8f9c5e234aef (1).pdf
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Rinekso Soekmadi,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Eva Rachmawati,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Resti Meilani,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Amrina Rosyada,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Fairuz Rafidah Aflaha,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
